bodyId,neuron_type,assigned_hex1,assigned_hex2
94444,L1,1,7
110883,L2,1,7
164392,L3,1,7
203248,L5,1,7
74949,Mi1,1,7
136972,Mi4,1,7
152896,Mi9,1,7
146983,C2,1,7
105202,C3,1,7
125768,Tm1,1,7
118266,Tm2,1,7
162013,Tm9,1,7
159141,Tm20,1,7
108940,T1,1,7
65625,L1,1,8
80370,L2,1,8
146392,L3,1,8
192440,L5,1,8
93321,Mi1,1,8
136844,Mi4,1,8
165028,Mi9,1,8
140185,C2,1,8
94187,C3,1,8
108457,Tm1,1,8
127544,Tm2,1,8
130822,Tm4,1,8
152488,Tm9,1,8
75365,T1,1,8
77697,L1,1,10
95973,L2,1,10
155869,L3,1,10
182356,L5,1,10
101491,Mi1,1,10
145945,Mi4,1,10
158838,Mi9,1,10
137248,C2,1,10
87963,C3,1,10
115490,Tm1,1,10
112432,Tm4,1,10
157909,Tm9,1,10
90494,T1,1,10
107494,L1,2,5
153022,L2,2,5
180780,L3,2,5
204708,L5,2,5
98563,Mi1,2,5
135516,Mi4,2,5
191480,Mi9,2,5
120468,C3,2,5
105917,Tm1,2,5
124545,Tm2,2,5
96329,T1,2,5
90008,L1,2,6
102679,L2,2,6
162173,L3,2,6
210629,L5,2,6
108486,Mi1,2,6
128147,Mi4,2,6
150055,Mi9,2,6
125236,C2,2,6
106287,C3,2,6
66958,Tm1,2,6
135322,Tm2,2,6
104608,Tm4,2,6
211898,Tm9,2,6
148934,Tm20,2,6
100116,T1,2,6
91223,L1,2,7
71059,L2,2,7
126564,L3,2,7
169271,L5,2,7
78028,Mi1,2,7
122523,Mi4,2,7
119221,Mi9,2,7
150946,C2,2,7
103655,C3,2,7
526549,Tm1,2,7
124756,Tm4,2,7
162075,Tm9,2,7
152783,Tm20,2,7
95526,T1,2,7
61905,L1,2,8
63386,L2,2,8
122458,L3,2,8
168931,L5,2,8
83423,Mi1,2,8
106767,Mi4,2,8
124434,Mi9,2,8
119136,C2,2,8
94103,C3,2,8
85230,Tm1,2,8
102808,Tm2,2,8
101762,Tm4,2,8
153744,Tm9,2,8
140398,Tm20,2,8
138798,T1,2,8
56103,L1,2,9
51175,L2,2,9
107931,L3,2,9
170431,L5,2,9
79930,Mi1,2,9
105380,Mi4,2,9
135670,Mi9,2,9
158791,C2,2,9
88716,C3,2,9
95289,Tm1,2,9
94041,Tm2,2,9
140632,Tm9,2,9
154553,Tm20,2,9
73129,T1,2,9
61335,L1,2,10
87031,L2,2,10
147082,L3,2,10
154992,L5,2,10
73240,Mi1,2,10
119350,Mi4,2,10
149281,Mi9,2,10
125193,C2,2,10
88743,C3,2,10
95701,Tm1,2,10
94527,Tm2,2,10
115899,Tm4,2,10
159972,Tm9,2,10
154860,Tm20,2,10
160104,T1,2,10
59572,L1,2,11
65277,L2,2,11
166491,L3,2,11
204668,L5,2,11
89532,Mi1,2,11
145679,Mi4,2,11
155843,Mi9,2,11
143332,C2,2,11
22038,C3,2,11
107389,Tm1,2,11
108525,Tm2,2,11
115910,Tm4,2,11
155505,Tm9,2,11
171480,Tm20,2,11
68758,T1,2,11
71110,L1,2,12
75482,L2,2,12
131950,L3,2,12
197045,L5,2,12
108302,Mi1,2,12
160018,Mi4,2,12
160408,Mi9,2,12
136731,C2,2,12
101422,C3,2,12
110916,Tm1,2,12
127662,Tm2,2,12
121027,Tm4,2,12
171058,Tm9,2,12
170248,Tm20,2,12
81065,T1,2,12
72846,L1,2,13
87871,L2,2,13
136836,L3,2,13
215683,L5,2,13
144511,Mi1,2,13
139438,Mi4,2,13
159161,Mi9,2,13
140872,C2,2,13
111739,C3,2,13
107139,Tm1,2,13
124698,Tm2,2,13
167109,Tm9,2,13
88175,T1,2,13
94899,L1,3,4
104423,L2,3,4
156352,L3,3,4
216660,L5,3,4
151090,Mi1,3,4
126563,Mi4,3,4
129406,Mi9,3,4
131375,C2,3,4
103671,C3,3,4
121787,Tm1,3,4
112768,Tm2,3,4
115302,Tm4,3,4
150114,Tm9,3,4
158740,T1,3,4
74247,L1,3,5
91773,L2,3,5
140948,L3,3,5
170042,L5,3,5
79418,Mi1,3,5
133577,Mi4,3,5
134078,Mi9,3,5
63213,C2,3,5
105131,C3,3,5
103258,Tm1,3,5
110576,Tm4,3,5
159356,Tm9,3,5
131829,Tm20,3,5
75126,T1,3,5
55965,L1,3,6
57301,L2,3,6
88380,L3,3,6
167837,L5,3,6
118763,Mi1,3,6
106286,Mi4,3,6
119557,Mi9,3,6
130112,C2,3,6
95899,C3,3,6
73596,Tm1,3,6
105499,Tm2,3,6
108244,Tm4,3,6
143028,Tm9,3,6
132125,Tm20,3,6
57288,T1,3,6
52226,L1,3,7
50362,L2,3,7
41274,L3,3,7
147401,L5,3,7
60908,Mi1,3,7
93320,Mi4,3,7
116362,Mi9,3,7
130485,C2,3,7
83189,C3,3,7
87580,Tm1,3,7
80742,Tm2,3,7
103981,Tm4,3,7
554447,Tm9,3,7
142226,Tm20,3,7
56631,T1,3,7
49635,L1,3,8
44499,L2,3,8
98043,L3,3,8
151214,L5,3,8
59804,Mi1,3,8
95806,Mi4,3,8
121701,Mi9,3,8
117761,C2,3,8
76736,C3,3,8
113960,Tm1,3,8
80240,Tm2,3,8
102030,Tm4,3,8
126507,Tm9,3,8
132292,Tm20,3,8
59770,T1,3,8
43611,L1,3,9
43135,L2,3,9
114322,L3,3,9
126586,L5,3,9
63060,Mi1,3,9
96971,Mi4,3,9
129332,Mi9,3,9
123476,C2,3,9
81911,C3,3,9
78646,Tm1,3,9
79422,Tm2,3,9
108103,Tm4,3,9
138428,Tm9,3,9
135028,Tm20,3,9
53522,T1,3,9
33193,L1,3,10
36037,L2,3,10
65517,L3,3,10
117837,L5,3,10
59610,Mi1,3,10
92022,Mi4,3,10
95552,Mi9,3,10
142943,C2,3,10
66408,C3,3,10
74414,Tm1,3,10
73780,Tm2,3,10
101518,Tm4,3,10
140672,Tm9,3,10
134905,Tm20,3,10
50101,T1,3,10
40259,L1,3,11
31081,L2,3,11
78252,L3,3,11
131872,L5,3,11
58676,Mi1,3,11
131436,Mi4,3,11
124451,Mi9,3,11
103806,C2,3,11
62329,C3,3,11
75398,Tm1,3,11
118957,Tm2,3,11
101084,Tm4,3,11
133568,Tm9,3,11
144000,Tm20,3,11
49068,T1,3,11
43918,L1,3,12
39628,L2,3,12
98664,L3,3,12
137262,L5,3,12
62228,Mi1,3,12
141183,Mi4,3,12
124088,Mi9,3,12
119806,C2,3,12
76252,C3,3,12
